Truck_Num   Waiting_Time   Busy_Time   % Busy_Time   Pkg_Delivered   %_Occupancy   Empty_Travel   %_Time_Carrying_Load   
     1          182           34          15.74            6          55.55              2          94.11
     2          175           41          18.98            5          83.98              9          78.05
     3          199           17           7.87            2          79.96              6          64.70
     4          174           42          19.44            5          43.99             15          64.28
     5          171           45          20.83            9          45.18             13          71.11
     6          201           15           6.94            3          29.99              7          53.33

Pakage_Num    Wait_Time    Pick_Up_Time   Delivery_Time   On_Time    Delay  
     1           3             4             7               Yes       0
     2           1             2             4               Yes       0
     3           2             6             9               Yes       0
     4           0             4            12                No       2
     5           2             7            10               Yes       0
     6           0             8            11               Yes       0
     7           0             8            14               Yes       0
     8           9            18            26                No       6
     9           3            12            20               Yes       0
    10           3            12            14               Yes       0
    11           6            16            22                No       2
    12           2            13            15               Yes       0
    13           4            16            22               Yes       0
    14           0            20            25               Yes       0
    15           0            30            31               Yes       0
    16           0            40            43               Yes       0
    17           1            66            69               Yes       0
    18           0            80            83               Yes       0
    19           1            91            95               Yes       0
    20           2           112           115               Yes       0
    21           4           114           119               Yes       0
    22           3           123           132               Yes       0
    23           3           153           156                No       1
    24           3           153           159               Yes       0
    25           3           153           162               Yes       0
    26           0           180           182               Yes       0
    27           0           190           192               Yes       0
    28           0           200           212               Yes       0
    29           1           201           209               Yes       0
    30           2           212           216               Yes       0

Avg_wait_per_pkg    Packages_On_Time     Delayed_Packages    Avg_Delay_For_Late_Pkg    Avg_Delay_Per_Package
      1.93                 26                    4                   2.75                   0.37 

