Truck_Num   Waiting_Time   Busy_Time   % Busy_Time   Pkg_Delivered   %_Occupancy   Empty_Travel   %_Time_Carrying_Load   
     1           79           16          16.84            2          89.96              0          99.99
     2           84           11          11.58            1          99.90              2          81.81
     3           54           41          43.16            5          77.98             15          63.41
     4           68           27          28.42            4          79.98              8          70.37
     5           47           48          50.53            6          68.32             18          62.50
     6           42           53          55.79            7          79.04             23          56.60
     7           39           56          58.95            7          59.04             11          80.36
     8           29           66          69.47           10          50.00             21          68.18
     9           50           45          47.37            5          46.99             22          51.11
    10           74           21          22.11            3          39.99              6          71.43

Pakage_Num    Wait_Time    Pick_Up_Time   Delivery_Time   On_Time    Delay  
     1           1             2             5               Yes       0
     2           1             2             4               Yes       0
     3           1             4             9               Yes       0
     4           0             3            12               Yes       0
     5           2             6             9               Yes       0
     6           0             4            12               Yes       0
     7           2             7            10               Yes       0
     8           0             7            13               Yes       0
     9           2            10            19               Yes       0
    10           6            14            17                No       2
    11           0             8            14               Yes       0
    12           0             9            17               Yes       0
    13           2            11            19               Yes       0
    14           3            12            14               Yes       0
    15           9            19            25                No       5
    16          10            21            23                No       8
    17           4            16            22                No       2
    18           6            19            24               Yes       0
    19           7            20            23                No       2
    20          10            24            27                No       7
    21           3            17            25               Yes       0
    22           5            20            29               Yes       0
    23           5            25            28                No       3
    24           6            28            31               Yes       0
    25           4            27            32               Yes       0
    26           1            26            35               Yes       0
    27           0            27            28               Yes       0
    28           5            33            38               Yes       0
    29           3            33            36               Yes       0
    30           2            37            40               Yes       0
    31           3            40            46               Yes       0
    32           1            39            45               Yes       0
    33           3            43            46                No       1
    34           2            45            50               Yes       0
    35           5            50            56                No       1
    36           0            47            49               Yes       0
    37           2            52            56               Yes       0
    38           3            55            64               Yes       0
    39           0            55            57               Yes       0
    40           0            60            62               Yes       0
    41           0            62            74               Yes       0
    42           0            65            73               Yes       0
    43           2            69            73               Yes       0
    44           0            70            78               Yes       0
    45           3            78            83               Yes       0
    46           8            85            93                No      14
    47           0            80            82               Yes       0
    48           4            84            87               Yes       0
    49           2            83            89                No       5
    50           5            87            95                No      10

Avg_wait_per_pkg    Packages_On_Time     Delayed_Packages    Avg_Delay_For_Late_Pkg    Avg_Delay_Per_Package
      2.86                 38                   12                   5.00                   1.20 

