Truck_Num   Waiting_Time   Busy_Time   % Busy_Time   Pkg_Delivered   %_Occupancy   Empty_Travel   %_Time_Carrying_Load   
     1           73           34          31.78            6          69.99             14          58.82
     2           60           47          43.93            6          79.99             19          59.57
     3           60           47          43.93            5          53.99             19          59.57
     4           71           36          33.65            4          52.49             10          72.22
     5           19           88          82.24           10          75.99             42          52.27
     6           22           85          79.44            9          59.25             31          63.53
     7           15           92          85.98           10          63.99             41          55.43

Pakage_Num    Wait_Time    Pick_Up_Time   Delivery_Time   On_Time    Delay  
     1           2           102           105               Yes       0
     2           1           101           103               Yes       0
     3           2            97           102               Yes       0
     4           3            98           107               Yes       0
     5           2            96            99               Yes       0
     6           0            94           102               Yes       0
     7           5            95            98               Yes       0
     8           3            90            96               Yes       0
     9           9            87            96                No       1
    10           1            79            82               Yes       0
    11           6            83            89                No       4
    12           0            75            83               Yes       0
    13           0            75            83               Yes       0
    14           5            75            77               Yes       0
    15           5            75            81                No       1
    16           0            65            67               Yes       0
    17           9            71            77                No       2
    18           8            68            73               Yes       0
    19           2            62            65               Yes       0
    20           3            58            61               Yes       0
    21           0            55            63               Yes       0
    22           4            59            68               Yes       0
    23           3            53            56               Yes       0
    24           5            55            58               Yes       0
    25           1            46            51               Yes       0
    26           7            47            56                No       1
    27           0            40            41               Yes       0
    28          11            48            53                No       6
    29           3            38            41               Yes       0
    30           3            38            41                No       1
    31           3            33            39               Yes       0
    32          11            36            42                No       2
    33           9            29            32                No       7
    34          11            28            33               Yes       0
    35           3            19            25               Yes       0
    36           9            24            26                No       3
    37          31            46            50                No      19
    38           8            23            32                No       2
    39          19            32            34                No      16
    40           6            18            20                No       1
    41           5            15            27               Yes       0
    42           3            12            20               Yes       0
    43           6            13            17               Yes       0
    44          12            18            26                No      11
    45           0             5            10               Yes       0
    46           3             8            11                No       1
    47           3             7             9               Yes       0
    48           0             3             6               Yes       0
    49           2             4            10                No       6
    50           1             2            10                No       5

Avg_wait_per_pkg    Packages_On_Time     Delayed_Packages    Avg_Delay_For_Late_Pkg    Avg_Delay_Per_Package
      4.96                 32                   18                   4.94                   1.78 

